date,team,opponent,is_home,xg,xgot,xa,possession_pct,total_shots,shots_on_target,shots_off_target,blocked_shots,shots_inside_box,shots_outside_box,big_chances,corners,passes,long_passes,final_third_passes,crosses,fouls,tackles,duels_won,clearances,interceptions,goalkeeper_saves,xgot_faced,goals_prevented,pass_accuracy
2023-11-18,South Sudan,Senegal,0,,,,33.0,6.0,1.0,3.0,2.0,,,,0.0,,,,,6.0,,,,,6.0,,,
2025-10-10,South Sudan,Senegal,0,,,,68.0,5.0,5.0,0.0,,,,,5.0,,,,,9.0,,,,,,,,
2021-10-10,Spain,France,0,,,,40.0,12.0,5.0,4.0,3.0,,,,5.0,369.0,,,,14.0,,,,,3.0,,,79.13279132791328
2023-03-25,Spain,Norway,0,0.69,,,36.0,6.0,1.0,3.0,2.0,,,,6.0,381.0,,,,13.0,,,,,4.0,,,87.13910761154857
2023-10-15,Spain,Norway,0,0.51,,,64.0,12.0,2.0,8.0,2.0,,,,1.0,743.0,,,,9.0,,,,,3.0,,,90.71332436069987
2024-07-09,Spain,France,0,1.09,,,42.0,9.0,3.0,4.0,2.0,,,,6.0,358.0,,,,14.0,,,,,0.0,,,84.63687150837988
2025-06-05,Spain,France,0,2.78,2.91,1.34,57.0,24.0,9.0,8.0,7.0,17.0,7.0,4.0,6.0,502.0,27.0,176.0,15.0,14.0,13.0,48.0,14.0,10.0,3.0,3.27,-1.73,90.0398406374502
2025-03-22,Sudan,Senegal,0,,,,66.0,19.0,4.0,15.0,,,,,11.0,,,,,9.0,,,,,3.0,,,
2025-08-19,Sudan,Senegal,0,0.51,0.07,0.38,63.0,8.0,1.0,3.0,4.0,4.0,4.0,0.0,3.0,418.0,62.0,88.0,17.0,14.0,10.0,55.0,22.0,3.0,1.0,0.01,0.01,78.22966507177034
2025-08-29,Sudan,Senegal,0,0.57,0.84,0.44,65.0,15.0,6.0,7.0,2.0,7.0,8.0,1.0,5.0,388.0,51.0,84.0,17.0,7.0,9.0,55.0,18.0,5.0,2.0,1.05,0.05,79.12371134020619
2025-09-05,Sudan,Senegal,0,,,,44.0,6.0,1.0,5.0,,,,,5.0,,,,,13.0,,,,,3.0,,,
2025-12-06,Sudan,Iraq,0,0.7,1.41,0.41,51.0,10.0,4.0,6.0,0.0,7.0,3.0,1.0,3.0,366.0,73.0,116.0,10.0,11.0,13.0,62.0,26.0,13.0,1.0,0.01,0.01,75.40983606557377
2022-06-05,Sweden,Norway,0,,,,38.0,12.0,8.0,4.0,0.0,,,,4.0,295.0,,,,12.0,,,,,2.0,,,76.27118644067797
