match_id,date,team,opponent,competition_type,is_home,is_neutral,comp_type_code,goals_for,goals_against,team_elo_before,opponent_elo_before,elo_diff,team_fifa_rank_before,opponent_fifa_rank_before,fifa_rank_diff,team_fifa_points_before,opponent_fifa_points_before,fifa_points_diff,team_days_since_last_match,opponent_days_since_last_match,rest_days_diff,team_win_rate_last_5,opponent_win_rate_last_5,win_rate_last_5_diff,team_win_rate_last_10,opponent_win_rate_last_10,win_rate_last_10_diff,team_draw_rate_last_5,opponent_draw_rate_last_5,draw_rate_last_5_diff,team_draw_rate_last_10,opponent_draw_rate_last_10,draw_rate_last_10_diff,team_loss_rate_last_5,opponent_loss_rate_last_5,loss_rate_last_5_diff,team_loss_rate_last_10,opponent_loss_rate_last_10,loss_rate_last_10_diff,team_points_per_game_last_5,opponent_points_per_game_last_5,points_per_game_last_5_diff,team_points_per_game_last_10,opponent_points_per_game_last_10,points_per_game_last_10_diff,team_avg_goals_for_last_5,opponent_avg_goals_for_last_5,avg_goals_for_last_5_diff,team_avg_goals_for_last_10,opponent_avg_goals_for_last_10,avg_goals_for_last_10_diff,team_avg_goals_against_last_5,opponent_avg_goals_against_last_5,avg_goals_against_last_5_diff,team_avg_goals_against_last_10,opponent_avg_goals_against_last_10,avg_goals_against_last_10_diff,team_goal_diff_avg_last_5,opponent_goal_diff_avg_last_5,goal_diff_avg_last_5_diff,team_goal_diff_avg_last_10,opponent_goal_diff_avg_last_10,goal_diff_avg_last_10_diff,team_clean_sheet_rate_last_5,opponent_clean_sheet_rate_last_5,clean_sheet_rate_last_5_diff,team_clean_sheet_rate_last_10,opponent_clean_sheet_rate_last_10,clean_sheet_rate_last_10_diff,team_failed_to_score_rate_last_5,opponent_failed_to_score_rate_last_5,failed_to_score_rate_last_5_diff,team_failed_to_score_rate_last_10,opponent_failed_to_score_rate_last_10,failed_to_score_rate_last_10_diff,team_xg_for_last_5,opponent_xg_for_last_5,xg_for_last_5_diff,team_xg_for_last_10,opponent_xg_for_last_10,xg_for_last_10_diff,team_xg_against_last_5,opponent_xg_against_last_5,xg_against_last_5_diff,team_xg_against_last_10,opponent_xg_against_last_10,xg_against_last_10_diff,team_xgot_for_last_5,opponent_xgot_for_last_5,xgot_for_last_5_diff,team_xgot_for_last_10,opponent_xgot_for_last_10,xgot_for_last_10_diff,team_xgot_against_last_5,opponent_xgot_against_last_5,xgot_against_last_5_diff,team_xgot_against_last_10,opponent_xgot_against_last_10,xgot_against_last_10_diff,team_shots_for_last_5,opponent_shots_for_last_5,shots_for_last_5_diff,team_shots_for_last_10,opponent_shots_for_last_10,shots_for_last_10_diff,team_shots_against_last_5,opponent_shots_against_last_5,shots_against_last_5_diff,team_shots_against_last_10,opponent_shots_against_last_10,shots_against_last_10_diff,team_shots_on_target_for_last_5,opponent_shots_on_target_for_last_5,shots_on_target_for_last_5_diff,team_shots_on_target_for_last_10,opponent_shots_on_target_for_last_10,shots_on_target_for_last_10_diff,team_shots_on_target_against_last_5,opponent_shots_on_target_against_last_5,shots_on_target_against_last_5_diff,team_shots_on_target_against_last_10,opponent_shots_on_target_against_last_10,shots_on_target_against_last_10_diff,team_big_chances_for_last_5,opponent_big_chances_for_last_5,big_chances_for_last_5_diff,team_big_chances_for_last_10,opponent_big_chances_for_last_10,big_chances_for_last_10_diff,team_big_chances_against_last_5,opponent_big_chances_against_last_5,big_chances_against_last_5_diff,team_big_chances_against_last_10,opponent_big_chances_against_last_10,big_chances_against_last_10_diff,team_corners_for_last_5,opponent_corners_for_last_5,corners_for_last_5_diff,team_corners_for_last_10,opponent_corners_for_last_10,corners_for_last_10_diff,team_corners_against_last_5,opponent_corners_against_last_5,corners_against_last_5_diff,team_corners_against_last_10,opponent_corners_against_last_10,corners_against_last_10_diff,team_possession_avg_last_5,opponent_possession_avg_last_5,possession_avg_last_5_diff,team_possession_avg_last_10,opponent_possession_avg_last_10,possession_avg_last_10_diff,team_pass_accuracy_avg_last_5,opponent_pass_accuracy_avg_last_5,pass_accuracy_avg_last_5_diff,team_pass_accuracy_avg_last_10,opponent_pass_accuracy_avg_last_10,pass_accuracy_avg_last_10_diff,team_goals_prevented_last_5,opponent_goals_prevented_last_5,goals_prevented_last_5_diff,team_goals_prevented_last_10,opponent_goals_prevented_last_10,goals_prevented_last_10_diff,team_xg_diff_last_5,opponent_xg_diff_last_5,xg_diff_last_5_diff,team_xg_diff_last_10,opponent_xg_diff_last_10,xg_diff_last_10_diff,target_result,target_win
2021-03-31_BA_FR,2021-03-31,France,Bosnia,qualifier,0,0,1,1,0,2077.0,1640.0,437.0,2.0,,,,,,3.0,4.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,,15.5,,,4.0,,,4.0,,,5.5,,,5.5,,,0.5,,,0.5,,,,,,,,,,,,,,,10.5,,,10.5,,,0.0,,,0.0,,,63.0,,,63.0,,,89.6387032827479,,,89.6387032827479,,,,,,,,,,,,,,,win,1.0
2021-05-24_IQ_TJ,2021-05-24,Iraq,Tajikistan,friendly,1,0,0,0,0,1638.0,1244.0,394.0,70.0,,,,,,56.0,60.0,-4.0,0.6666666666666666,0.75,-0.08333333333333337,0.6666666666666666,0.75,-0.08333333333333337,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.25,-0.25,0.0,0.25,-0.25,2.3333333333333335,2.25,0.08333333333333348,2.3333333333333335,2.25,0.08333333333333348,1.0,1.75,-0.75,1.0,1.75,-0.75,0.3333333333333333,0.5,-0.16666666666666669,0.3333333333333333,0.5,-0.16666666666666669,0.6666666666666666,1.25,-0.5833333333333334,0.6666666666666666,1.25,-0.5833333333333334,0.6666666666666666,0.75,-0.08333333333333337,0.6666666666666666,0.75,-0.08333333333333337,0.3333333333333333,0.25,0.08333333333333331,0.3333333333333333,0.25,0.08333333333333331,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,6.0,,,3.3333333333333335,,,3.3333333333333335,,,2.6666666666666665,,,2.6666666666666665,,,1.0,,,1.0,,,,,,,,,,,,,,,2.0,,,2.0,,,1.0,,,1.0,,,39.666666666666664,,,39.666666666666664,,,,,,,,,,,,,,,,,,,,,draw,0.0
2021-05-29_IQ_NP,2021-05-29,Iraq,Nepal,friendly,1,0,0,6,2,1629.0,912.0,717.0,70.0,,,,,,5.0,61.0,-56.0,0.5,,,0.5,,,0.5,,,0.5,,,0.0,,,0.0,,,2.0,,,2.0,,,0.75,,,0.75,,,0.25,,,0.25,,,0.5,,,0.5,,,0.75,,,0.75,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,4.5,,,2.5,,,2.5,,,2.0,,,2.0,,,0.75,,,0.75,,,,,,,,,,,,,,,1.5,,,1.5,,,0.75,,,0.75,,,29.75,,,29.75,,,,,,,,,,,,,,,,,,,,,win,1.0
2021-06-02_NO_LU,2021-06-02,Norway,Luxembourg,friendly,0,1,0,1,0,1749.0,1393.0,356.0,44.0,,,,,,64.0,64.0,0.0,0.6666666666666666,0.4,0.2666666666666666,0.6666666666666666,0.4,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6,-0.26666666666666666,0.3333333333333333,0.6,-0.26666666666666666,2.0,1.2,0.8,2.0,1.2,0.8,1.3333333333333333,0.8,0.5333333333333332,1.3333333333333333,0.8,0.5333333333333332,1.0,1.4,-0.3999999999999999,1.0,1.4,-0.3999999999999999,0.3333333333333333,-0.6,0.9333333333333333,0.3333333333333333,-0.6,0.9333333333333333,0.6666666666666666,0.4,0.2666666666666666,0.6666666666666666,0.4,0.2666666666666666,0.3333333333333333,0.2,0.1333333333333333,0.3333333333333333,0.2,0.1333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,16.333333333333332,,,16.333333333333332,,,7.333333333333333,,,7.333333333333333,,,5.0,,,5.0,,,2.3333333333333335,,,2.3333333333333335,,,,,,,,,,,,,,,8.333333333333334,,,8.333333333333334,,,2.0,,,2.0,,,64.0,,,64.0,,,87.06247581265272,,,87.06247581265272,,,,,,,,,,,,,,,win,1.0
2021-06-02_FR_WA,2021-06-02,France,Wales,friendly,1,0,0,3,0,2082.0,1845.0,237.0,2.0,,,,,,63.0,64.0,-1.0,0.6666666666666666,0.6,0.06666666666666665,0.6666666666666666,0.6,0.06666666666666665,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.4,-0.4,0.0,0.4,-0.4,2.3333333333333335,1.8,0.5333333333333334,2.3333333333333335,1.8,0.5333333333333334,1.3333333333333333,1.0,0.33333333333333326,1.3333333333333333,1.0,0.33333333333333326,0.3333333333333333,1.2,-0.8666666666666667,0.3333333333333333,1.2,-0.8666666666666667,1.0,-0.2,1.2,1.0,-0.2,1.2,0.6666666666666666,0.6,0.06666666666666665,0.6666666666666666,0.6,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,14.666666666666666,,,14.666666666666666,,,2.6666666666666665,,,2.6666666666666665,,,4.333333333333333,,,4.333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,,,,,,,,,,,,9.666666666666666,,,9.666666666666666,,,0.0,,,0.0,,,60.666666666666664,,,60.666666666666664,,,89.09007936890481,,,89.09007936890481,,,,,,,,,,,,,,,win,1.0
2021-06-05_SN_ZM,2021-06-05,Senegal,Zambia,friendly,1,0,0,3,1,1723.0,1493.0,230.0,20.0,,,,,,67.0,68.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,2.5,,,2.5,,,2.5,,,0.0,,,0.0,,,0.5,,,0.5,,,,,,,,,,,,,,,0.5,,,0.5,,,1.5,,,1.5,,,23.5,,,23.5,,,,,,,,,,,,,,,,,,,,,win,1.0
2021-06-06_GR_NO,2021-06-06,Norway,Greece,friendly,0,1,0,1,2,1751.0,1647.0,104.0,44.0,,,,,,4.0,3.0,1.0,0.7142857142857143,0.16666666666666666,0.5476190476190477,0.7142857142857143,0.16666666666666666,0.5476190476190477,0.0,0.8333333333333334,-0.8333333333333334,0.0,0.8333333333333334,-0.8333333333333334,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,2.142857142857143,1.3333333333333333,0.8095238095238095,2.142857142857143,1.3333333333333333,0.8095238095238095,1.2857142857142858,1.1666666666666667,0.11904761904761907,1.2857142857142858,1.1666666666666667,0.11904761904761907,0.8571428571428571,1.0,-0.1428571428571429,0.8571428571428571,1.0,-0.1428571428571429,0.42857142857142855,0.16666666666666666,0.26190476190476186,0.42857142857142855,0.16666666666666666,0.26190476190476186,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.0,0.7142857142857143,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,15.571428571428571,,,15.571428571428571,,,7.142857142857143,,,7.142857142857143,,,4.571428571428571,,,4.571428571428571,,,2.0,,,2.0,,,,,,,,,,,,,,,8.428571428571429,,,8.428571428571429,,,2.142857142857143,,,2.142857142857143,,,63.42857142857143,,,63.42857142857143,,,87.07171620452088,,,87.07171620452088,,,,,,,,,,,,,,,loss,0.0
2021-06-07_IQ_KH,2021-06-07,Iraq,Cambodia,qualifier,0,1,1,4,1,1629.0,839.0,790.0,70.0,,,,,,9.0,4.0,5.0,0.6,,,0.6,,,0.4,,,0.4,,,0.0,,,0.0,,,2.2,,,2.2,,,1.8,,,1.8,,,0.6,,,0.6,,,1.2,,,1.2,,,0.6,,,0.6,,,0.4,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,3.6,,,2.0,,,2.0,,,1.6,,,1.6,,,0.6,,,0.6,,,,,,,,,,,,,,,1.2,,,1.2,,,0.6,,,0.6,,,23.8,,,23.8,,,,,,,,,,,,,,,,,,,,,win,1.0
2021-06-08_FR_BG,2021-06-08,France,Bulgaria,friendly,1,0,0,3,0,2086.0,1500.0,586.0,2.0,,,,,,6.0,3.0,3.0,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.0,0.7142857142857143,0.2857142857142857,0.375,-0.0892857142857143,0.2857142857142857,0.375,-0.0892857142857143,0.0,0.625,-0.625,0.0,0.625,-0.625,2.4285714285714284,0.375,2.0535714285714284,2.4285714285714284,0.375,2.0535714285714284,1.5714285714285714,0.375,1.1964285714285714,1.5714285714285714,0.375,1.1964285714285714,0.2857142857142857,1.5,-1.2142857142857144,0.2857142857142857,1.5,-1.2142857142857144,1.2857142857142858,-1.125,2.4107142857142856,1.2857142857142858,-1.125,2.4107142857142856,0.7142857142857143,0.25,0.4642857142857143,0.7142857142857143,0.25,0.4642857142857143,0.0,0.625,-0.625,0.0,0.625,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,15.857142857142858,,,15.857142857142858,,,3.7142857142857144,,,3.7142857142857144,,,5.428571428571429,,,5.428571428571429,,,0.5714285714285714,,,0.5714285714285714,,,,,,,,,,,,,,,9.571428571428571,,,9.571428571428571,,,0.2857142857142857,,,0.2857142857142857,,,62.0,,,62.0,,,76.36292517334698,,,76.36292517334698,,,,,,,,,,,,,,,win,1.0
2021-06-08_SN_CV,2021-06-08,Senegal,Cape Verde,friendly,1,0,0,2,0,1727.0,1441.0,286.0,20.0,,,,,,3.0,70.0,-67.0,0.2,,,0.2,,,0.8,,,0.8,,,0.0,,,0.0,,,1.4,,,1.4,,,1.0,,,1.0,,,0.6,,,0.6,,,0.4,,,0.4,,,0.4,,,0.4,,,0.4,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,3.6,,,3.6,,,3.6,,,0.6,,,0.6,,,0.6,,,0.6,,,,,,,,,,,,,,,1.2,,,1.2,,,2.0,,,2.0,,,29.2,,,29.2,,,,,,,,,,,,,,,,,,,,,win,1.0
